"# File last updated on: June 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# File prepared by: Natalie Monacci (University of Alaska Fairbanks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For questions please send a message to:  <nmonacci@alaska.edu>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 33BI20211108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist: S. Danielson and J. Grebmeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: Chuckhi and Beaufort Seas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SHIP: R/V Sikuliaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: SKQ202115s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Shipboard contact: S. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CTD: Who - S. Danielson; Status - shipboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Notes: 	 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Salinty: Who - ; Status - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Notes: 	 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nutrients: Who - C. Mordy; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Oxygen: Who - ; Status - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DIC: Who - N.Monacci; Status -  Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TA: Who - N.Monacci; Status -  Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
