,Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Lat_dec,Lon_dec,local_timezone,local_date_combined,utc_date_combined,btl_bottle,btl_oxy_concM_ch1 (ml/l),btl_oxy_percentsat_ch1 (percent),btl_oxy_conc_ch1 (micromole/kg),btl_salinity_ch1 (PSU),btl_salinity_ch2 (PSU),btl_sigma_t_ch1,btl_sigma_t_ch2,btl_chlor_fluorescence (ugrams/l),btl_temperature_ch1 (degree_C),btl_temperature_ch2 (degree_C),btl_turbidity (NTU),btl_pressure (decibar),btl_latitude (degrees_north),btl_longitude (degrees_east),btl_time (UTC),btl_profile_id,nutr_EXPOCODE,nutr_STNNBR,nutr_SECT_ID,nutr_BTLNBR,nutr_DATE,nutr_TIME,nutr_LATITUDE,nutr_LONGITUDE,nutr_DEPTH.METERS,nutr_CTDPRS.DBAR,nutr_CTDTMP.ITS-90,nutr_CTDSAL.PSS-78,nutr_CTDOXY.UMOL/KG,nutr_PAR,nutr_SILCAT.UMOL/L,nutr_SILCAT_FLAG,nutr_NITRAT.UMOL/L,nutr_NITRAT_FLAG,nutr_NITRIT.UMOL/L,nutr_NITRIT_FLAG,nutr_PHSPHT.UMOL/L,nutr_PHSPHT_FLAG,nutr_NH4.UMOL/L,nutr_NH4_FLAG
0,E1758.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,17:25,,,33,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,9.6,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,,57.854166666666664,-168.903,Etc/GMT+11,,2023-04-27T17:25:00,6,8.2476,102.691,359.059,32.2301,32.1061,25.8386,25.7388,0.8696,0.6422,0.6424,0.716,9.613,57.854166666666664,-168.903,2023-04-27T17:25:00Z,33,DY2306,33,M4,6,20240426,1725,57.85,-168.9,71,9.61,0.6422,32.2301,359.06,14.19,41.2,2,19.1,2,0.14,2,1.662,2,0.28,2
1,E1770.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-28,,3:31,,,39,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,9.7,57°29.87',167°20.57',1000,Shannon Brown,,,,,,,,,,57.49783333333333,-167.34283333333335,Etc/GMT+11,,2023-04-28T03:31:00,6,8.3762,104.828,364.692,32.1272,32.1299,25.7433,25.7455,0.7819,0.8678,0.8686,0.5231,9.666,57.49783333333333,-167.34283333333337,2023-04-28T03:31:00Z,39,DY2306,39,70m14,6,20240427,331,57.5,-167.34,71,9.67,0.8678,32.1272,364.69,65.91,37.7,2,16.9,2,0.11,2,1.658,2,0.28,2
2,E1795.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-29,,14:49,,,59,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,9.9,56°52.35',164°03.25',1000,Shannon Brown,Stored in fridge for ~14 hours before filtering,,,,,,,,,56.8725,-164.05416666666667,Etc/GMT+11,,2023-04-29T14:49:00,6,8.5671,110.857,373.112,31.872,31.8752,25.4484,25.4509,1.9504,2.2452,2.2461,0.4818,9.891,56.8725,-164.05416666666667,2023-04-29T14:49:00Z,59,DY2306,59,M2,6,20240428,1449,56.87,-164.05,73,9.89,2.2452,31.872,373.11,0.19,27.2,2,12.7,2,0.2,2,1.261,2,0.09,2
3,E1776.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-28,,8:47,,,43,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M10,10.0,57°26.39',166°19.60',1000,Shannon Brown,,,,,,,,,,57.43983333333333,-166.32666666666665,Etc/GMT+11,,2023-04-28T08:47:00,6,8.656,109.265,376.91,32.033,32.0363,25.6465,25.6491,2.0899,1.2268,1.2269,0.5177,9.966,57.43983333333333,-166.32666666666665,2023-04-28T08:47:00Z,43,DY2306,43,70m10,6,20240427,847,57.44,-166.33,69,9.97,1.2268,32.033,376.91,0.05,34.9,2,14.4,2,0.15,2,1.472,2,0.1,2
4,E1764.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,21:42,,,35,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,10.2,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,,57.5235,-168.61133333333333,Etc/GMT+11,,2023-04-27T21:42:00,6,8.2511,103.767,359.199,32.2998,32.3025,25.8738,25.876,0.7463,1.0103,1.0105,0.4723,10.222,57.5235,-168.6113333333333,2023-04-27T21:42:00Z,35,DY2306,35,70m18,6,20240426,2142,57.52,-168.61,72,10.22,1.0103,32.2998,359.2,69.68,40.3,2,15.2,2,0.08,2,1.483,2,0.23,2
5,E1767.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-28,,0:34,,,37,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,10.3,57°30.05',167°59.30',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,,57.50083333333333,-167.98833333333334,Etc/GMT+11,,2023-04-28T00:34:00,6,8.3384,104.959,363.02,32.2372,32.2401,25.8205,25.8226,0.9546,1.0617,1.0653,0.5799,10.327,57.50083333333333,-167.98833333333334,2023-04-28T00:34:00Z,37,DY2306,37,70m16,6,20240427,34,57.5,-167.99,72,10.33,1.0617,32.2372,363.02,79.68,35.9,2,11.0,2,0.05,2,1.429,2,0.34,2
6,E1731.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-25,,8:41,,,16,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,10.3,55°02.85',165°05.82',1000,Shannon Brown,,,,,,,,,,55.0475,-165.097,Etc/GMT+11,,2023-04-25T08:41:00,8,8.5225,115.566,371.189,32.008,32.011,25.397,25.3994,3.293,4.0995,4.0993,0.3871,10.314,55.0475,-165.097,2023-04-25T08:41:00Z,16,DY2306,16,UBN6,8,20240424,841,55.05,-165.1,113,10.31,4.0995,32.008,371.19,0.02,39.7,2,17.9,2,0.18,2,1.63,2,0.3,2
7,E1722.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-24,,14:44,,,7,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,10.4,54°21.61',165°55.90',1000,Shannon Brown,,,,,,,,,,54.360166666666665,-165.93166666666667,America/Anchorage,,2023-04-24T14:44:00,10,9.4735,129.471,412.515,32.3231,32.3262,25.6238,25.6264,6.1454,4.3348,4.3338,0.5047,10.404,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,7,DY2306,7,UBW1,10,20240423,1444,54.36,-165.93,471,10.4,4.3348,32.3231,412.52,0.0,60.1,2,29.9,2,0.07,2,2.261,2,0.0,2
8,E1792.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-29,,8:35,,,57,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,10.4,56°56.56',163°50.12',1000,Shannon Brown,,,,,,,,,,56.94266666666667,-163.83533333333332,Etc/GMT+11,,2023-04-29T08:35:00,6,8.3689,109.039,364.507,31.8063,31.8108,25.3737,25.3774,1.1833,2.5366,2.5366,0.41,10.391,56.94266666666667,-163.83533333333332,2023-04-29T08:35:00Z,57,DY2306,57,M2E,6,20240428,835,56.94,-163.84,70,10.39,2.5366,31.8063,364.51,0.09,28.9,2,13.8,2,0.22,2,1.375,2,0.05,2
9,E1752.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,5:41,,,28,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,10.5,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,,58.045,-169.68083333333334,Etc/GMT+11,,2023-04-27T05:41:00,6,8.2371,102.891,358.591,32.2742,32.2769,25.868,25.8701,0.7007,0.7545,0.7546,0.6069,10.506,58.045,-169.68083333333334,2023-04-27T05:41:00Z,28,DY2306,28,70m24,6,20240426,541,58.04,-169.68,70,10.51,0.7545,32.2742,358.59,7.63,39.6,2,16.5,2,0.07,2,1.521,2,0.18,2
