Sample	lat	long	controls	group1
E25.2B.DY20	48	-122	NA	Dyson20
E26.1B.DY20	48	-122	NA	Dyson20
E26.2B.DY20	48	-122	NA	Dyson20
E27.2B.DY20	48	-122	NA	Dyson20
E28.1B.DY20	48	-122	NA	Dyson20
E28.2B.DY20	48	-122	NA	Dyson20
E29.1B.DY20	48	-122	NA	Dyson20
E29.2B.DY20	48	-122	NA	Dyson20
E31.1B.DY20	48	-122	NA	Dyson20
E31.2B.DY20	48	-122	NA	Dyson20
E32.2B.DY20	48	-122	NA	Dyson20
E33.1B.DY20	48	-122	NA	Dyson20
E33.2B.DY20	48	-122	NA	Dyson20
E34.1B.DY20	48	-122	NA	Dyson20
E35.1B.DY20	48	-122	NA	Dyson20
E35.2B.DY20	48	-122	NA	Dyson20
E36.1B.DY20	48	-122	NA	Dyson20
E36.2B.DY20	48	-122	NA	Dyson20
E37.1B.DY20	48	-122	NA	Dyson20
E37.2B.DY20	48	-122	NA	Dyson20
E38.1B.DY20	48	-122	NA	Dyson20
E38.2B.DY20	48	-122	NA	Dyson20
E39.1B.DY20	48	-122	NA	Dyson20
E39.2B.DY20	48	-122	NA	Dyson20
E40.1B.DY20	48	-122	NA	Dyson20
E40.2B.DY20	48	-122	NA	Dyson20
E42.1B.DY20	48	-122	NA	Dyson20
E42.2B.DY20	48	-122	NA	Dyson20
E43.1B.DY20	48	-122	NA	Dyson20
E43.2B.DY20	48	-122	NA	Dyson20
E44.DY20	48	-122	NA	Dyson20
E45.1B.DY20	48	-122	NA	Dyson20
E45.2B.DY20	48	-122	NA	Dyson20
E46.1B.DY20	48	-122	NA	Dyson20
E46.2B.DY20	48	-122	NA	Dyson20
E47.1B.DY20	48	-122	NA	Dyson20
E47.2B.DY20	48	-122	NA	Dyson20
E48.1B.DY20	48	-122	NA	Dyson20
E48.2B.DY20	48	-122	NA	Dyson20
E49.1B.DY20	48	-122	NA	Dyson20
E49.2B.DY20	48	-122	NA	Dyson20
E50.1B.DY20	48	-122	NA	Dyson20
E50.2B.DY20	48	-122	NA	Dyson20
E51.1B.DY20	48	-122	NA	Dyson20
E51.2B.DY20	48	-122	NA	Dyson20
E52.1B.DY20	48	-122	NA	Dyson20
E52.2B.DY20	48	-122	NA	Dyson20
E53.1B.DY20	48	-122	NA	Dyson20
E53.2B.DY20	48	-122	NA	Dyson20
E54.1B.DY20	48	-122	NA	Dyson20
E54.2B.DY20	48	-122	NA	Dyson20
E55.1B.DY20	48	-122	NA	Dyson20
E55.2B.DY20	48	-122	NA	Dyson20
E57.1B.DY20	48	-122	NA	Dyson20
E57.2B.DY20	48	-122	NA	Dyson20
E58.1B.DY20	48	-122	NA	Dyson20
E58.2B.DY20	48	-122	NA	Dyson20
E59.1B.DY20	48	-122	NA	Dyson20
E59.2B.DY20	48	-122	NA	Dyson20
E60.1B.DY20	48	-122	NA	Dyson20
E60.2B.DY20	48	-122	NA	Dyson20
E61.1B.DY20	48	-122	NA	Dyson20
E61.2B.DY20	48	-122	NA	Dyson20
E62.1B.DY20	48	-122	NA	Dyson20
E62.2B.DY20	48	-122	NA	Dyson20
E63.1B.DY20	48	-122	NA	Dyson20
E63.2B.DY20	48	-122	NA	Dyson20
E64.1B.DY20	48	-122	NA	Dyson20
E64.2B.DY20	48	-122	NA	Dyson20
E65.1B.DY20	48	-122	NA	Dyson20
E65.2B.DY20	48	-122	NA	Dyson20
E66.1B.DY20	48	-122	NA	Dyson20
E66.2B.DY20	48	-122	NA	Dyson20
E67.1B.DY20	48	-122	NA	Dyson20
E67.2B.DY20	48	-122	NA	Dyson20
E68.1B.DY20	48	-122	NA	Dyson20
E68.2B.DY20	48	-122	NA	Dyson20
E69.2B.DY20	48	-122	NA	Dyson20
E70.1B.DY20	48	-122	NA	Dyson20
E70.2B.DY20	48	-122	NA	Dyson20
E71.1B.DY20	48	-122	NA	Dyson20
E71.2B.DY20	48	-122	NA	Dyson20
E72.1B.DY20	48	-122	NA	Dyson20
E72.2B.DY20	48	-122	NA	Dyson20
E233.1B.NO20	48	-122	NA	Norseman20
E233.2B.NO20	48	-122	NA	Norseman20
E234.1B.NO20	48	-122	NA	Norseman20
E234.2B.NO20	48	-122	NA	Norseman20
E234.3B.NO20	48	-122	NA	Norseman20
E235.1B.NO20	48	-122	NA	Norseman20
E235.2B.NO20	48	-122	NA	Norseman20
E235.3B.NO20	48	-122	NA	Norseman20
E236.1B.NO20	48	-122	NA	Norseman20
E236.2B.NO20	48	-122	NA	Norseman20
E236.3B.NO20	48	-122	NA	Norseman20
E237.1B.NO20	48	-122	NA	Norseman20
E237.2B.NO20	48	-122	NA	Norseman20
E238.1B.NO20	48	-122	NA	Norseman20
E238.2B.NO20	48	-122	NA	Norseman20
E239.1B.NO20	48	-122	NA	Norseman20
E239.2B.NO20	48	-122	NA	Norseman20
E240.1B.NO20	48	-122	NA	Norseman20
E240.2B.NO20	48	-122	NA	Norseman20
E241.1B.NO20	48	-122	NA	Norseman20
E241.2B.NO20	48	-122	NA	Norseman20
E242.1B.NO20	48	-122	NA	Norseman20
E242.2B.NO20	48	-122	NA	Norseman20
E243.1B.NO20	48	-122	NA	Norseman20
E243.2B.NO20	48	-122	NA	Norseman20
E244.1B.NO20	48	-122	NA	Norseman20
E244.2B.NO20	48	-122	NA	Norseman20
E245.1B.NO20	48	-122	NA	Norseman20
E245.2B.NO20	48	-122	NA	Norseman20
E246.1B.NO20	48	-122	NA	Norseman20
E246.2B.NO20	48	-122	NA	Norseman20
E247.1B.NO20	48	-122	NA	Norseman20
E247.2B.NO20	48	-122	NA	Norseman20
E248.1B.NO20	48	-122	NA	Norseman20
E248.2B.NO20	48	-122	NA	Norseman20
E249.1B.NO20	48	-122	NA	Norseman20
E249.2B.NO20	48	-122	NA	Norseman20
E250.1B.NO20	48	-122	NA	Norseman20
E250.2B.NO20	48	-122	NA	Norseman20
E251.1B.NO20	48	-122	NA	Norseman20
E251.2B.NO20	48	-122	NA	Norseman20
E252.1B.NO20	48	-122	NA	Norseman20
E252.2B.NO20	48	-122	NA	Norseman20
E253.NO20	48	-122	NA	Norseman20
E254.NO20	48	-122	NA	Norseman20
E255.1B.NO20	48	-122	NA	Norseman20
E255.2B.NO20	48	-122	NA	Norseman20
E256.1B.NO20	48	-122	NA	Norseman20
E256.2B.NO20	48	-122	NA	Norseman20
E257.1B.NO20	48	-122	NA	Norseman20
E257.2B.NO20	48	-122	NA	Norseman20
E258.1B.NO20	48	-122	NA	Norseman20
E258.2B.NO20	48	-122	NA	Norseman20
E259.1B.NO20	48	-122	NA	Norseman20
E259.2B.NO20	48	-122	NA	Norseman20
E260.1B.NO20	48	-122	NA	Norseman20
E260.2B.NO20	48	-122	NA	Norseman20
E261.1B.NO20	48	-122	NA	Norseman20
E261.2B.NO20	48	-122	NA	Norseman20
E262.1B.NO20	48	-122	NA	Norseman20
E262.2B.NO20	48	-122	NA	Norseman20
E263.2B.NO20	48	-122	NA	Norseman20
E264.1B.NO20	48	-122	NA	Norseman20
E264.2B.NO20	48	-122	NA	Norseman20
E265.1B.NO20	48	-122	NA	Norseman20
E265.2B.NO20	48	-122	NA	Norseman20
E266.1B.NO20	48	-122	NA	Norseman20
E266.2B.NO20	48	-122	NA	Norseman20
E267.1B.NO20	48	-122	NA	Norseman20
E267.2B.NO20	48	-122	NA	Norseman20
E268.1B.NO20	48	-122	NA	Norseman20
E268.2B.NO20	48	-122	NA	Norseman20
E269.1B.NO20	48	-122	NA	Norseman20
E269.2B.NO20	48	-122	NA	Norseman20
E270.1B.NO20	48	-122	NA	Norseman20
E270.2B.NO20	48	-122	NA	Norseman20
E271.1B.NO20	48	-122	NA	Norseman20
E271.2B.NO20	48	-122	NA	Norseman20
E272.1B.NO20	48	-122	NA	Norseman20
E272.2B.NO20	48	-122	NA	Norseman20
E273.1B.NO20	48	-122	NA	Norseman20
E273.2B.NO20	48	-122	NA	Norseman20
E274.1B.NO20	48	-122	NA	Norseman20
E274.2B.NO20	48	-122	NA	Norseman20
E275.1B.NO20	48	-122	NA	Norseman20
E275.2B.NO20	48	-122	NA	Norseman20
E276.1B.NO20	48	-122	NA	Norseman20
E276.2B.NO20	48	-122	NA	Norseman20
E277.1B.NO20	48	-122	NA	Norseman20
E277.2B.NO20	48	-122	NA	Norseman20
