ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	NA
ASV_10	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	NA	NA
ASV_1000	Eukaryota	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas sp_ RCC2500
ASV_10000	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_10001	Bacteria	Candidatus Kaiserbacteria	NA	NA	NA	NA	NA
ASV_10002	Bacteria	Candidatus Campbellbacteria	NA	NA	NA	NA	NA
ASV_10003	Bacteria	Candidatus Campbellbacteria	NA	NA	NA	NA	NA
ASV_10004	Bacteria	Candidatus Kaiserbacteria	NA	NA	NA	NA	NA
ASV_10005	Bacteria	Candidatus Kaiserbacteria	NA	NA	NA	NA	NA
ASV_10006	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10007	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	NA	NA	NA
ASV_10008	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10010	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp_ 2S23
ASV_10011	Bacteria	Candidatus Nomurabacteria	NA	NA	NA	NA	NA
ASV_10012	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	NA	NA
ASV_10013	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10014	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	NA	NA
ASV_10015	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_10016	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10017	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV_10018	Eukaryota	Rhodophyta	Bangiophyceae	Porphyridiales	Porphyridiaceae	NA	NA
