Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample
E2081.1B.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,9/12/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M2,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2081.2B.SKQ23-12S,2,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,9/12/2022,NA,0:27,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M3,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2081.3B.SKQ23-12S,3,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,9/12/2022,NA,0:42,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M4,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2081.4B.SKQ23-12S,4,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,9/12/2022,NA,0:57,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M6,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2082.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,9/21/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M7,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2084.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,9/30/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M8,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2085.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,10/9/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M9,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2086.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,10/18/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M10,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2087.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,10/27/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M11,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2088.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,11/5/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M12,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
